agent_id_hash,activity_date,country_code,scheduled_minutes,available_minutes,handled_contacts,updated_at
agent_1a6562590ef1,2026-01-05,UK,480,434,20,2026-01-05T00:00:00
agent_4fc82b26aecb,2026-01-05,UK,360,301,10,2026-01-05T00:00:00
agent_d4735e3a265e,2026-01-05,UK,360,295,11,2026-01-05T00:00:00
agent_e29c9c180c62,2026-01-05,UK,240,180,6,2026-01-05T00:00:00
agent_e7f6c011776e,2026-01-05,UK,420,378,15,2026-01-05T00:00:00
agent_6b86b273ff34,2026-01-05,UK,360,328,16,2026-01-05T00:00:00
agent_031b4af5197e,2026-01-05,UK,240,181,7,2026-01-05T00:00:00
agent_6b51d431df5d,2026-01-05,UK,360,311,10,2026-01-05T00:00:00
agent_44cb730c4204,2026-01-05,PL,360,298,9,2026-01-05T00:00:00
agent_8527a891e224,2026-01-05,PL,240,179,7,2026-01-05T00:00:00
agent_4ec9599fc203,2026-01-05,PL,360,313,14,2026-01-05T00:00:00
agent_4b227777d4dd,2026-01-05,PL,480,458,23,2026-01-05T00:00:00
agent_3fdba35f04dc,2026-01-05,PL,240,161,6,2026-01-05T00:00:00
agent_2c624232cdd2,2026-01-05,PL,360,290,15,2026-01-05T00:00:00
agent_031b4af5197e,2026-01-05,PL,240,216,7,2026-01-05T00:00:00
agent_4a44dc153642,2026-01-05,PL,480,423,16,2026-01-05T00:00:00
agent_71ee45a3c0db,2026-01-05,PL,480,448,15,2026-01-05T00:00:00
agent_eb1e33e8a81b,2026-01-05,PL,420,386,13,2026-01-05T00:00:00
agent_e29c9c180c62,2026-01-05,PL,420,386,19,2026-01-05T00:00:00
agent_6b51d431df5d,2026-01-05,PL,480,405,19,2026-01-05T00:00:00
agent_6208ef0f7750,2026-01-05,AT,360,316,13,2026-01-05T00:00:00
agent_e629fa6598d7,2026-01-05,AT,480,414,19,2026-01-05T00:00:00
agent_ef2d127de37b,2026-01-05,AT,420,383,18,2026-01-05T00:00:00
agent_eb1e33e8a81b,2026-01-05,AT,360,338,12,2026-01-05T00:00:00
agent_aea92132c4cb,2026-01-05,AT,240,203,10,2026-01-05T00:00:00
agent_e29c9c180c62,2026-01-05,AT,480,431,18,2026-01-05T00:00:00
agent_4b227777d4dd,2026-01-05,AT,420,386,12,2026-01-05T00:00:00
agent_59e19706d51d,2026-01-05,AT,360,290,9,2026-01-05T00:00:00
agent_4a44dc153642,2026-01-05,AT,360,304,9,2026-01-05T00:00:00
agent_8527a891e224,2026-01-05,AT,360,335,14,2026-01-05T00:00:00
agent_d59eced1ded0,2026-01-05,AT,480,405,12,2026-01-05T00:00:00
agent_624b60c58c9d,2026-01-05,AT,480,407,16,2026-01-05T00:00:00
agent_d59eced1ded0,2026-01-06,DE,420,398,19,2026-01-06T00:00:00
agent_b17ef6d19c7a,2026-01-06,DE,240,196,7,2026-01-06T00:00:00
agent_2858dcd1057d,2026-01-06,DE,240,199,6,2026-01-06T00:00:00
agent_2fca346db656,2026-01-06,DE,420,373,15,2026-01-06T00:00:00
agent_31489056e091,2026-01-06,DE,360,280,9,2026-01-06T00:00:00
agent_6208ef0f7750,2026-01-06,DE,240,167,5,2026-01-06T00:00:00
agent_86e501496586,2026-01-06,DE,240,170,8,2026-01-06T00:00:00
agent_7a61b53701be,2026-01-06,DE,420,381,14,2026-01-06T00:00:00
agent_624b60c58c9d,2026-01-06,DE,360,296,10,2026-01-06T00:00:00
agent_4e07408562be,2026-01-06,DE,420,364,14,2026-01-06T00:00:00
agent_ef2d127de37b,2026-01-06,DE,480,443,15,2026-01-06T00:00:00
agent_6f4b6612125f,2026-01-06,DE,360,323,12,2026-01-06T00:00:00
agent_4e07408562be,2026-01-06,NL,360,323,14,2026-01-06T00:00:00
agent_0b918943df09,2026-01-06,NL,420,394,18,2026-01-06T00:00:00
agent_5f9c4ab08cac,2026-01-06,NL,240,175,7,2026-01-06T00:00:00
agent_6b51d431df5d,2026-01-06,NL,240,181,8,2026-01-06T00:00:00
agent_71ee45a3c0db,2026-01-06,NL,480,423,17,2026-01-06T00:00:00
agent_9400f1b21cb5,2026-01-06,NL,420,366,15,2026-01-06T00:00:00
agent_4ec9599fc203,2026-01-06,NL,240,199,8,2026-01-06T00:00:00
agent_6b86b273ff34,2026-01-06,NL,420,348,14,2026-01-06T00:00:00
agent_670671cd9740,2026-01-06,NL,480,406,14,2026-01-06T00:00:00
agent_8527a891e224,2026-01-06,NL,360,306,11,2026-01-06T00:00:00
agent_d4735e3a265e,2026-01-06,NL,480,444,18,2026-01-06T00:00:00
agent_41cfc0d1f2d1,2026-01-06,NL,240,180,7,2026-01-06T00:00:00
agent_535fa30d7e25,2026-01-06,UK,480,459,22,2026-01-06T00:00:00
agent_e7f6c011776e,2026-01-06,UK,360,301,13,2026-01-06T00:00:00
agent_8527a891e224,2026-01-06,UK,480,434,13,2026-01-06T00:00:00
agent_98010bd9270f,2026-01-06,UK,240,172,5,2026-01-06T00:00:00
agent_86e501496586,2026-01-06,UK,480,445,19,2026-01-06T00:00:00
agent_c2356069e9d1,2026-01-06,UK,360,316,11,2026-01-06T00:00:00
agent_f5ca38f748a1,2026-01-06,UK,240,214,9,2026-01-06T00:00:00
agent_9400f1b21cb5,2026-01-06,UK,360,333,12,2026-01-06T00:00:00
agent_0e17daca5f3e,2026-01-06,UK,360,285,14,2026-01-06T00:00:00
agent_6f4b6612125f,2026-01-06,UK,480,425,17,2026-01-06T00:00:00
agent_35135aaa6cc2,2026-01-06,UK,360,314,10,2026-01-06T00:00:00
agent_71ee45a3c0db,2026-01-06,UK,420,380,13,2026-01-06T00:00:00
agent_3d914f9348c9,2026-01-06,PL,480,446,14,2026-01-06T00:00:00
agent_7902699be42c,2026-01-06,PL,480,412,16,2026-01-06T00:00:00
agent_44cb730c4204,2026-01-06,PL,480,450,14,2026-01-06T00:00:00
agent_c837649cce43,2026-01-06,PL,360,315,14,2026-01-06T00:00:00
agent_71ee45a3c0db,2026-01-06,PL,420,352,14,2026-01-06T00:00:00
agent_39fa9ec190ee,2026-01-06,PL,360,297,9,2026-01-06T00:00:00
agent_0e17daca5f3e,2026-01-06,PL,480,423,15,2026-01-06T00:00:00
agent_02d20bbd7e39,2026-01-06,PL,480,434,21,2026-01-06T00:00:00
agent_6f4b6612125f,2026-01-06,PL,240,181,8,2026-01-06T00:00:00
agent_c6f3ac57944a,2026-01-06,PL,240,182,7,2026-01-06T00:00:00
agent_9f14025af006,2026-01-06,PL,480,400,21,2026-01-06T00:00:00
agent_1a6562590ef1,2026-01-06,PL,360,330,12,2026-01-06T00:00:00
agent_eb1e33e8a81b,2026-01-06,AT,360,286,9,2026-01-06T00:00:00
agent_71ee45a3c0db,2026-01-06,AT,480,437,15,2026-01-06T00:00:00
agent_e7f6c011776e,2026-01-06,AT,360,329,13,2026-01-06T00:00:00
agent_c2356069e9d1,2026-01-06,AT,360,320,16,2026-01-06T00:00:00
agent_d4735e3a265e,2026-01-06,AT,240,163,8,2026-01-06T00:00:00
agent_98010bd9270f,2026-01-06,AT,480,431,20,2026-01-06T00:00:00
agent_0b918943df09,2026-01-06,AT,480,445,15,2026-01-06T00:00:00
agent_031b4af5197e,2026-01-06,AT,480,428,15,2026-01-06T00:00:00
agent_73475cb40a56,2026-01-06,AT,420,345,11,2026-01-06T00:00:00
agent_b7a56873cd77,2026-01-06,AT,360,325,13,2026-01-06T00:00:00
agent_76a50887d8f1,2026-01-06,AT,240,220,7,2026-01-06T00:00:00
agent_c6f3ac57944a,2026-01-06,AT,480,405,16,2026-01-06T00:00:00
agent_6b51d431df5d,2026-01-07,DE,480,437,19,2026-01-07T00:00:00
agent_b7a56873cd77,2026-01-07,DE,420,393,16,2026-01-07T00:00:00
agent_6b86b273ff34,2026-01-07,DE,480,442,15,2026-01-07T00:00:00
agent_f5ca38f748a1,2026-01-07,DE,360,309,13,2026-01-07T00:00:00
agent_e7f6c011776e,2026-01-07,DE,360,290,15,2026-01-07T00:00:00
agent_76a50887d8f1,2026-01-07,DE,360,323,16,2026-01-07T00:00:00
agent_6208ef0f7750,2026-01-07,DE,480,400,20,2026-01-07T00:00:00
agent_0e17daca5f3e,2026-01-07,DE,420,389,19,2026-01-07T00:00:00
agent_7a61b53701be,2026-01-07,DE,480,439,17,2026-01-07T00:00:00
agent_c2356069e9d1,2026-01-07,DE,240,192,10,2026-01-07T00:00:00
agent_19581e27de7c,2026-01-07,DE,420,354,12,2026-01-07T00:00:00
agent_ef2d127de37b,2026-01-07,DE,420,342,17,2026-01-07T00:00:00
agent_2858dcd1057d,2026-01-07,NL,360,340,11,2026-01-07T00:00:00
agent_76a50887d8f1,2026-01-07,NL,360,332,11,2026-01-07T00:00:00
agent_535fa30d7e25,2026-01-07,NL,420,369,12,2026-01-07T00:00:00
agent_71ee45a3c0db,2026-01-07,NL,240,160,5,2026-01-07T00:00:00
agent_9400f1b21cb5,2026-01-07,NL,240,180,7,2026-01-07T00:00:00
agent_c2356069e9d1,2026-01-07,NL,420,374,17,2026-01-07T00:00:00
agent_e29c9c180c62,2026-01-07,NL,240,191,9,2026-01-07T00:00:00
agent_4e07408562be,2026-01-07,NL,360,323,10,2026-01-07T00:00:00
agent_6f4b6612125f,2026-01-07,NL,480,449,17,2026-01-07T00:00:00
agent_59e19706d51d,2026-01-07,NL,420,344,12,2026-01-07T00:00:00
agent_1a6562590ef1,2026-01-07,NL,420,400,21,2026-01-07T00:00:00
agent_c6f3ac57944a,2026-01-07,NL,480,427,15,2026-01-07T00:00:00
agent_3e1e967e9b79,2026-01-07,UK,480,456,19,2026-01-07T00:00:00
agent_2858dcd1057d,2026-01-07,UK,420,400,16,2026-01-07T00:00:00
agent_86e501496586,2026-01-07,UK,240,170,7,2026-01-07T00:00:00
agent_6b51d431df5d,2026-01-07,UK,240,215,10,2026-01-07T00:00:00
agent_4fc82b26aecb,2026-01-07,UK,420,400,15,2026-01-07T00:00:00
agent_811786ad1ae7,2026-01-07,UK,480,404,13,2026-01-07T00:00:00
agent_4523540f1504,2026-01-07,UK,240,200,9,2026-01-07T00:00:00
agent_25fc0e7096fc,2026-01-07,UK,240,173,5,2026-01-07T00:00:00
agent_35135aaa6cc2,2026-01-07,UK,420,386,12,2026-01-07T00:00:00
agent_b17ef6d19c7a,2026-01-07,UK,480,457,15,2026-01-07T00:00:00
agent_e7f6c011776e,2026-01-07,UK,360,328,17,2026-01-07T00:00:00
agent_19581e27de7c,2026-01-07,UK,480,456,15,2026-01-07T00:00:00
agent_aea92132c4cb,2026-01-07,PL,420,365,13,2026-01-07T00:00:00
agent_6f4b6612125f,2026-01-07,PL,420,386,13,2026-01-07T00:00:00
agent_71ee45a3c0db,2026-01-07,PL,360,289,11,2026-01-07T00:00:00
agent_6b86b273ff34,2026-01-07,PL,480,434,16,2026-01-07T00:00:00
agent_c837649cce43,2026-01-07,PL,360,285,9,2026-01-07T00:00:00
agent_eb1e33e8a81b,2026-01-07,PL,420,392,14,2026-01-07T00:00:00
agent_4523540f1504,2026-01-07,PL,420,370,12,2026-01-07T00:00:00
agent_811786ad1ae7,2026-01-07,PL,480,407,14,2026-01-07T00:00:00
agent_73475cb40a56,2026-01-07,PL,360,310,14,2026-01-07T00:00:00
agent_e7f6c011776e,2026-01-07,PL,420,349,13,2026-01-07T00:00:00
agent_c6f3ac57944a,2026-01-07,PL,360,283,9,2026-01-07T00:00:00
agent_7a61b53701be,2026-01-07,PL,240,218,10,2026-01-07T00:00:00
agent_4e07408562be,2026-01-07,AT,480,403,18,2026-01-07T00:00:00
agent_4a44dc153642,2026-01-07,AT,420,372,17,2026-01-07T00:00:00
agent_535fa30d7e25,2026-01-07,AT,360,319,10,2026-01-07T00:00:00
agent_1a6562590ef1,2026-01-07,AT,360,314,12,2026-01-07T00:00:00
agent_76a50887d8f1,2026-01-07,AT,480,405,18,2026-01-07T00:00:00
agent_44cb730c4204,2026-01-07,AT,480,458,16,2026-01-07T00:00:00
agent_d59eced1ded0,2026-01-07,AT,480,448,17,2026-01-07T00:00:00
agent_5f9c4ab08cac,2026-01-07,AT,360,295,9,2026-01-07T00:00:00
agent_e629fa6598d7,2026-01-07,AT,420,341,13,2026-01-07T00:00:00
agent_71ee45a3c0db,2026-01-07,AT,360,305,13,2026-01-07T00:00:00
agent_6b51d431df5d,2026-01-07,AT,360,320,10,2026-01-07T00:00:00
agent_ef2d127de37b,2026-01-07,AT,480,402,12,2026-01-07T00:00:00
agent_19581e27de7c,2026-01-08,DE,420,368,12,2026-01-08T00:00:00
agent_98010bd9270f,2026-01-08,DE,240,178,9,2026-01-08T00:00:00
agent_aea92132c4cb,2026-01-08,DE,480,416,13,2026-01-08T00:00:00
agent_7688b6ef5255,2026-01-08,DE,420,364,14,2026-01-08T00:00:00
agent_41cfc0d1f2d1,2026-01-08,DE,480,432,13,2026-01-08T00:00:00
agent_6208ef0f7750,2026-01-08,DE,240,194,7,2026-01-08T00:00:00
agent_3d914f9348c9,2026-01-08,DE,360,327,14,2026-01-08T00:00:00
agent_f5ca38f748a1,2026-01-08,DE,240,218,11,2026-01-08T00:00:00
agent_6b86b273ff34,2026-01-08,DE,480,454,22,2026-01-08T00:00:00
agent_8527a891e224,2026-01-08,DE,240,213,9,2026-01-08T00:00:00
agent_5f9c4ab08cac,2026-01-08,DE,360,304,11,2026-01-08T00:00:00
agent_7a61b53701be,2026-01-08,DE,240,172,6,2026-01-08T00:00:00
agent_3fdba35f04dc,2026-01-08,NL,420,366,12,2026-01-08T00:00:00
agent_e629fa6598d7,2026-01-08,NL,420,398,13,2026-01-08T00:00:00
agent_3e1e967e9b79,2026-01-08,NL,420,395,14,2026-01-08T00:00:00
agent_4ec9599fc203,2026-01-08,NL,240,165,6,2026-01-08T00:00:00
agent_c837649cce43,2026-01-08,NL,360,338,17,2026-01-08T00:00:00
agent_8527a891e224,2026-01-08,NL,420,342,13,2026-01-08T00:00:00
agent_eb1e33e8a81b,2026-01-08,NL,240,195,10,2026-01-08T00:00:00
agent_44cb730c4204,2026-01-08,NL,420,363,13,2026-01-08T00:00:00
agent_670671cd9740,2026-01-08,NL,240,171,9,2026-01-08T00:00:00
agent_2fca346db656,2026-01-08,NL,420,359,11,2026-01-08T00:00:00
agent_2858dcd1057d,2026-01-08,NL,360,283,9,2026-01-08T00:00:00
agent_02d20bbd7e39,2026-01-08,NL,360,307,11,2026-01-08T00:00:00
agent_c837649cce43,2026-01-08,UK,240,205,9,2026-01-08T00:00:00
agent_670671cd9740,2026-01-08,UK,240,166,5,2026-01-08T00:00:00
agent_02d20bbd7e39,2026-01-08,UK,420,368,12,2026-01-08T00:00:00
agent_3e1e967e9b79,2026-01-08,UK,420,381,14,2026-01-08T00:00:00
agent_2c624232cdd2,2026-01-08,UK,360,337,16,2026-01-08T00:00:00
agent_5f9c4ab08cac,2026-01-08,UK,360,336,14,2026-01-08T00:00:00
agent_9f14025af006,2026-01-08,UK,480,424,13,2026-01-08T00:00:00
agent_4e07408562be,2026-01-08,UK,240,189,6,2026-01-08T00:00:00
agent_98010bd9270f,2026-01-08,UK,240,207,6,2026-01-08T00:00:00
agent_ef2d127de37b,2026-01-08,UK,480,457,23,2026-01-08T00:00:00
agent_d59eced1ded0,2026-01-08,UK,480,454,15,2026-01-08T00:00:00
agent_0b918943df09,2026-01-08,UK,240,170,6,2026-01-08T00:00:00
agent_8527a891e224,2026-01-08,PL,480,418,13,2026-01-08T00:00:00
agent_c837649cce43,2026-01-08,PL,360,281,11,2026-01-08T00:00:00
agent_19581e27de7c,2026-01-08,PL,240,202,10,2026-01-08T00:00:00
agent_031b4af5197e,2026-01-08,PL,360,287,11,2026-01-08T00:00:00
agent_25fc0e7096fc,2026-01-08,PL,420,380,19,2026-01-08T00:00:00
agent_7902699be42c,2026-01-08,PL,480,401,14,2026-01-08T00:00:00
agent_aea92132c4cb,2026-01-08,PL,360,313,12,2026-01-08T00:00:00
agent_71ee45a3c0db,2026-01-08,PL,420,369,15,2026-01-08T00:00:00
agent_f5ca38f748a1,2026-01-08,PL,480,448,16,2026-01-08T00:00:00
agent_d4735e3a265e,2026-01-08,PL,360,305,10,2026-01-08T00:00:00
agent_6208ef0f7750,2026-01-08,PL,240,218,7,2026-01-08T00:00:00
agent_41cfc0d1f2d1,2026-01-08,PL,480,441,16,2026-01-08T00:00:00
agent_2c624232cdd2,2026-01-08,AT,420,382,12,2026-01-08T00:00:00
agent_44cb730c4204,2026-01-08,AT,240,175,8,2026-01-08T00:00:00
agent_b7a56873cd77,2026-01-08,AT,420,387,17,2026-01-08T00:00:00
agent_39fa9ec190ee,2026-01-08,AT,480,422,15,2026-01-08T00:00:00
agent_031b4af5197e,2026-01-08,AT,360,316,16,2026-01-08T00:00:00
agent_7a61b53701be,2026-01-08,AT,420,348,15,2026-01-08T00:00:00
agent_9400f1b21cb5,2026-01-08,AT,360,320,15,2026-01-08T00:00:00
agent_4fc82b26aecb,2026-01-08,AT,480,413,18,2026-01-08T00:00:00
agent_b17ef6d19c7a,2026-01-08,AT,240,220,11,2026-01-08T00:00:00
agent_73475cb40a56,2026-01-08,AT,420,382,15,2026-01-08T00:00:00
agent_4a44dc153642,2026-01-08,AT,240,161,5,2026-01-08T00:00:00
agent_c837649cce43,2026-01-08,AT,420,367,14,2026-01-08T00:00:00
agent_6208ef0f7750,2026-01-09,DE,420,340,17,2026-01-09T00:00:00
agent_670671cd9740,2026-01-09,DE,420,369,13,2026-01-09T00:00:00
agent_031b4af5197e,2026-01-09,DE,360,333,16,2026-01-09T00:00:00
agent_98010bd9270f,2026-01-09,DE,480,457,15,2026-01-09T00:00:00
agent_19581e27de7c,2026-01-09,DE,240,186,9,2026-01-09T00:00:00
agent_31489056e091,2026-01-09,DE,240,178,6,2026-01-09T00:00:00
agent_4e07408562be,2026-01-09,DE,360,285,10,2026-01-09T00:00:00
agent_73475cb40a56,2026-01-09,DE,360,328,17,2026-01-09T00:00:00
agent_e629fa6598d7,2026-01-09,DE,420,378,14,2026-01-09T00:00:00
agent_4b227777d4dd,2026-01-09,DE,480,423,15,2026-01-09T00:00:00
agent_b7a56873cd77,2026-01-09,DE,360,337,14,2026-01-09T00:00:00
agent_aea92132c4cb,2026-01-09,DE,360,326,16,2026-01-09T00:00:00
agent_9400f1b21cb5,2026-01-09,NL,240,166,9,2026-01-09T00:00:00
agent_2858dcd1057d,2026-01-09,NL,480,420,21,2026-01-09T00:00:00
agent_44cb730c4204,2026-01-09,NL,480,405,15,2026-01-09T00:00:00
agent_785f3ec7eb32,2026-01-09,NL,420,378,20,2026-01-09T00:00:00
agent_0b918943df09,2026-01-09,NL,360,335,17,2026-01-09T00:00:00
agent_59e19706d51d,2026-01-09,NL,240,167,7,2026-01-09T00:00:00
agent_76a50887d8f1,2026-01-09,NL,480,460,18,2026-01-09T00:00:00
agent_6208ef0f7750,2026-01-09,NL,480,410,18,2026-01-09T00:00:00
agent_811786ad1ae7,2026-01-09,NL,240,160,5,2026-01-09T00:00:00
agent_c6f3ac57944a,2026-01-09,NL,240,204,9,2026-01-09T00:00:00
agent_41cfc0d1f2d1,2026-01-09,NL,480,407,21,2026-01-09T00:00:00
agent_7688b6ef5255,2026-01-09,NL,240,176,6,2026-01-09T00:00:00
agent_3e1e967e9b79,2026-01-09,UK,420,383,14,2026-01-09T00:00:00
agent_7902699be42c,2026-01-09,UK,420,399,13,2026-01-09T00:00:00
agent_4523540f1504,2026-01-09,UK,240,183,6,2026-01-09T00:00:00
agent_4e07408562be,2026-01-09,UK,420,347,11,2026-01-09T00:00:00
agent_41cfc0d1f2d1,2026-01-09,UK,240,194,6,2026-01-09T00:00:00
agent_1a6562590ef1,2026-01-09,UK,480,444,19,2026-01-09T00:00:00
agent_76a50887d8f1,2026-01-09,UK,480,422,16,2026-01-09T00:00:00
agent_b17ef6d19c7a,2026-01-09,UK,420,364,13,2026-01-09T00:00:00
agent_4ec9599fc203,2026-01-09,UK,480,444,22,2026-01-09T00:00:00
agent_59e19706d51d,2026-01-09,UK,420,395,17,2026-01-09T00:00:00
agent_7a61b53701be,2026-01-09,UK,240,202,7,2026-01-09T00:00:00
agent_6f4b6612125f,2026-01-09,UK,480,401,13,2026-01-09T00:00:00
agent_73475cb40a56,2026-01-09,PL,480,435,15,2026-01-09T00:00:00
agent_35135aaa6cc2,2026-01-09,PL,240,164,6,2026-01-09T00:00:00
agent_59e19706d51d,2026-01-09,PL,420,388,20,2026-01-09T00:00:00
agent_6b51d431df5d,2026-01-09,PL,480,400,13,2026-01-09T00:00:00
agent_6f4b6612125f,2026-01-09,PL,420,369,18,2026-01-09T00:00:00
agent_02d20bbd7e39,2026-01-09,PL,480,453,18,2026-01-09T00:00:00
agent_3fdba35f04dc,2026-01-09,PL,420,357,12,2026-01-09T00:00:00
agent_71ee45a3c0db,2026-01-09,PL,420,363,11,2026-01-09T00:00:00
agent_0e17daca5f3e,2026-01-09,PL,360,290,9,2026-01-09T00:00:00
agent_3d914f9348c9,2026-01-09,PL,480,452,17,2026-01-09T00:00:00
agent_9f14025af006,2026-01-09,PL,480,436,22,2026-01-09T00:00:00
agent_9400f1b21cb5,2026-01-09,PL,480,436,21,2026-01-09T00:00:00
agent_31489056e091,2026-01-09,AT,480,404,15,2026-01-09T00:00:00
agent_9f14025af006,2026-01-09,AT,480,430,15,2026-01-09T00:00:00
agent_5f9c4ab08cac,2026-01-09,AT,240,195,8,2026-01-09T00:00:00
agent_59e19706d51d,2026-01-09,AT,360,287,11,2026-01-09T00:00:00
agent_6b86b273ff34,2026-01-09,AT,480,408,14,2026-01-09T00:00:00
agent_1a6562590ef1,2026-01-09,AT,240,210,11,2026-01-09T00:00:00
agent_3fdba35f04dc,2026-01-09,AT,420,348,11,2026-01-09T00:00:00
agent_f5ca38f748a1,2026-01-09,AT,360,327,17,2026-01-09T00:00:00
agent_0b918943df09,2026-01-09,AT,360,320,15,2026-01-09T00:00:00
agent_86e501496586,2026-01-09,AT,360,328,14,2026-01-09T00:00:00
agent_19581e27de7c,2026-01-09,AT,420,348,12,2026-01-09T00:00:00
agent_4ec9599fc203,2026-01-09,AT,240,220,8,2026-01-09T00:00:00
agent_5f9c4ab08cac,2026-01-10,DE,420,372,12,2026-01-10T00:00:00
agent_59e19706d51d,2026-01-10,DE,420,382,19,2026-01-10T00:00:00
agent_785f3ec7eb32,2026-01-10,DE,240,200,6,2026-01-10T00:00:00
agent_44cb730c4204,2026-01-10,DE,480,430,14,2026-01-10T00:00:00
agent_670671cd9740,2026-01-10,DE,360,318,10,2026-01-10T00:00:00
agent_4e07408562be,2026-01-10,DE,420,398,19,2026-01-10T00:00:00
agent_39fa9ec190ee,2026-01-10,DE,240,219,8,2026-01-10T00:00:00
agent_eb1e33e8a81b,2026-01-10,DE,420,349,15,2026-01-10T00:00:00
agent_2858dcd1057d,2026-01-10,DE,480,451,21,2026-01-10T00:00:00
agent_c2356069e9d1,2026-01-10,DE,480,428,19,2026-01-10T00:00:00
agent_535fa30d7e25,2026-01-10,DE,420,350,14,2026-01-10T00:00:00
agent_7a61b53701be,2026-01-10,DE,360,338,13,2026-01-10T00:00:00
agent_4a44dc153642,2026-01-10,NL,420,363,16,2026-01-10T00:00:00
agent_9400f1b21cb5,2026-01-10,NL,480,436,23,2026-01-10T00:00:00
agent_2c624232cdd2,2026-01-10,NL,240,193,6,2026-01-10T00:00:00
agent_d4735e3a265e,2026-01-10,NL,240,215,9,2026-01-10T00:00:00
agent_031b4af5197e,2026-01-10,NL,420,360,15,2026-01-10T00:00:00
agent_3e1e967e9b79,2026-01-10,NL,480,455,21,2026-01-10T00:00:00
agent_e7f6c011776e,2026-01-10,NL,420,399,14,2026-01-10T00:00:00
agent_c2356069e9d1,2026-01-10,NL,480,418,15,2026-01-10T00:00:00
agent_4b227777d4dd,2026-01-10,NL,240,218,11,2026-01-10T00:00:00
agent_7688b6ef5255,2026-01-10,NL,420,379,14,2026-01-10T00:00:00
agent_624b60c58c9d,2026-01-10,NL,240,160,5,2026-01-10T00:00:00
agent_98010bd9270f,2026-01-10,NL,360,332,12,2026-01-10T00:00:00
agent_d4735e3a265e,2026-01-10,UK,360,319,13,2026-01-10T00:00:00
agent_5f9c4ab08cac,2026-01-10,UK,420,353,12,2026-01-10T00:00:00
agent_7688b6ef5255,2026-01-10,UK,240,162,5,2026-01-10T00:00:00
agent_7a61b53701be,2026-01-10,UK,480,447,17,2026-01-10T00:00:00
agent_d59eced1ded0,2026-01-10,UK,480,442,17,2026-01-10T00:00:00
agent_71ee45a3c0db,2026-01-10,UK,360,321,13,2026-01-10T00:00:00
agent_4e07408562be,2026-01-10,UK,240,189,10,2026-01-10T00:00:00
agent_73475cb40a56,2026-01-10,UK,360,325,14,2026-01-10T00:00:00
agent_b7a56873cd77,2026-01-10,UK,420,345,12,2026-01-10T00:00:00
agent_f5ca38f748a1,2026-01-10,UK,360,324,14,2026-01-10T00:00:00
agent_0b918943df09,2026-01-10,UK,480,435,15,2026-01-10T00:00:00
agent_031b4af5197e,2026-01-10,UK,240,171,9,2026-01-10T00:00:00
agent_4e07408562be,2026-01-10,PL,480,429,15,2026-01-10T00:00:00
agent_4523540f1504,2026-01-10,PL,420,394,17,2026-01-10T00:00:00
agent_535fa30d7e25,2026-01-10,PL,480,453,15,2026-01-10T00:00:00
agent_8527a891e224,2026-01-10,PL,240,184,7,2026-01-10T00:00:00
