compensation_id,contact_id,order_id,refund_amount,voucher_amount,goodwill_amount,created_at,updated_at
cmp_0000053,con_0000270,ord_0002675,0.0,9.9,2.7,2026-01-11T20:43:00,2026-01-11T22:43:00
cmp_0000054,con_0000274,ord_0002701,7.99,0.0,0.0,2026-01-12T14:40:00,2026-01-12T16:40:00
cmp_0000055,con_0000277,ord_0002719,0.0,4.47,5.86,2026-01-15T12:52:00,2026-01-15T14:52:00
cmp_0000056,con_0000278,ord_0002738,0.0,13.3,0.0,2026-01-12T15:18:00,2026-01-12T17:18:00
cmp_0000057,con_0000282,ord_0002805,0.0,12.28,0.0,2026-01-12T20:54:00,2026-01-12T22:54:00
cmp_0000058,con_0000283,ord_0002806,0.0,12.11,0.0,2026-01-15T10:27:00,2026-01-15T12:27:00
cmp_0000059,con_0000286,ord_0002834,0.0,10.75,2.59,2026-01-18T19:56:00,2026-01-18T21:56:00
cmp_0000060,con_0000287,ord_0002850,5.22,4.1,0.0,2026-01-15T18:06:00,2026-01-15T20:06:00
cmp_0000061,con_0000294,ord_0002927,0.0,13.44,0.0,2026-01-11T22:40:00,2026-01-12T00:40:00
cmp_0000062,con_0000298,ord_0002962,0.0,12.74,0.0,2026-01-19T11:27:00,2026-01-19T13:27:00
cmp_0000063,con_0000299,ord_0002963,0.0,4.58,0.0,2026-01-16T14:54:00,2026-01-16T16:54:00
cmp_0000064,con_0000304,ord_0003034,0.0,11.05,0.0,2026-01-16T22:18:00,2026-01-17T00:18:00
cmp_0000065,con_0000314,ord_0003142,9.33,7.63,0.0,2026-01-12T10:22:00,2026-01-12T12:22:00
cmp_0000066,con_0000326,ord_0003224,0.0,12.51,0.0,2026-01-12T22:23:00,2026-01-13T00:23:00
cmp_0000067,con_0000327,ord_0003224,17.68,13.52,3.95,2026-01-12T12:05:00,2026-01-12T14:05:00
cmp_0000068,con_0000330,ord_0003235,0.0,11.17,0.0,2026-01-12T12:07:00,2026-01-12T14:07:00
cmp_0000069,con_0000332,ord_0003298,0.0,3.58,4.04,2026-01-16T20:30:00,2026-01-16T22:30:00
cmp_0000070,con_0000334,ord_0003307,12.13,7.39,4.93,2026-01-11T08:50:00,2026-01-11T10:50:00
cmp_0000071,con_0000337,ord_0003318,2.26,0.0,6.71,2026-01-11T09:20:00,2026-01-11T11:20:00
cmp_0000072,con_0000338,ord_0003347,7.88,0.0,3.07,2026-01-16T16:57:00,2026-01-16T18:57:00
cmp_0000073,con_0000346,ord_0003445,0.0,4.42,5.56,2026-01-13T09:46:00,2026-01-13T11:46:00
cmp_0000074,con_0000356,ord_0003538,0.0,12.33,8.36,2026-01-13T09:18:00,2026-01-13T11:18:00
cmp_0000075,con_0000360,ord_0003605,5.13,9.77,0.0,2026-01-17T18:24:00,2026-01-17T20:24:00
cmp_0000076,con_0000367,ord_0003665,0.0,11.2,0.0,2026-01-20T15:56:00,2026-01-20T17:56:00
cmp_0000077,con_0000368,ord_0003684,0.0,3.96,0.0,2026-01-14T13:58:00,2026-01-14T15:58:00
cmp_0000078,con_0000377,ord_0003769,16.2,0.0,3.51,2026-01-20T09:35:00,2026-01-20T11:35:00
cmp_0000079,con_0000388,ord_0003893,0.0,9.26,0.0,2026-01-20T19:35:00,2026-01-20T21:35:00
cmp_0000080,con_0000389,ord_0003906,0.0,11.85,2.06,2026-01-17T09:35:00,2026-01-17T11:35:00
cmp_0000081,con_0000390,ord_0003916,0.0,12.72,0.0,2026-01-14T14:18:00,2026-01-14T16:18:00
cmp_0000082,con_0000398,ord_0004030,15.41,10.02,0.0,2026-01-15T20:03:00,2026-01-15T22:03:00
cmp_0000083,con_0000406,ord_0004110,17.96,0.0,0.0,2026-01-18T18:53:00,2026-01-18T20:53:00
cmp_0000084,con_0000416,ord_0004185,0.0,8.87,0.0,2026-01-13T10:18:00,2026-01-13T12:18:00
cmp_0000085,con_0000419,ord_0004214,0.0,3.15,0.0,2026-01-21T10:56:00,2026-01-21T12:56:00
cmp_0000086,con_0000434,ord_0004396,0.0,6.6,0.0,2026-01-14T17:29:00,2026-01-14T19:29:00
cmp_0000087,con_0000436,ord_0004475,3.64,0.0,7.64,2026-01-14T22:43:00,2026-01-15T00:43:00
cmp_0000088,con_0000446,ord_0004603,0.0,3.62,0.0,2026-01-16T08:12:00,2026-01-16T10:12:00
cmp_0000089,con_0000451,ord_0004640,14.7,0.0,0.0,2026-01-19T22:14:00,2026-01-20T00:14:00
cmp_0000090,con_0000457,ord_0004739,0.0,11.33,2.91,2026-01-14T18:57:00,2026-01-14T20:57:00
cmp_0000091,con_0000458,ord_0004750,12.73,0.0,0.0,2026-01-22T20:56:00,2026-01-22T22:56:00
cmp_0000092,con_0000459,ord_0004767,0.0,9.76,3.32,2026-01-16T09:03:00,2026-01-16T11:03:00
cmp_0000093,con_0000460,ord_0004775,7.57,12.04,6.66,2026-01-16T22:43:00,2026-01-17T00:43:00
cmp_0000094,con_0000463,ord_0004794,0.0,9.18,7.92,2026-01-19T11:20:00,2026-01-19T13:20:00
cmp_0000095,con_0000465,ord_0004844,0.0,5.36,8.32,2026-01-23T12:53:00,2026-01-23T14:53:00
cmp_0000096,con_0000467,ord_0004867,13.27,8.52,0.0,2026-01-20T17:37:00,2026-01-20T19:37:00
cmp_0000097,con_0000468,ord_0004870,0.0,9.0,5.33,2026-01-20T19:26:00,2026-01-20T21:26:00
cmp_0000098,con_0000471,ord_0004883,0.0,6.79,2.36,2026-01-20T16:23:00,2026-01-20T18:23:00
cmp_0000099,con_0000472,ord_0004907,0.0,13.58,2.3,2026-01-15T10:37:00,2026-01-15T12:37:00
cmp_0000100,con_0000474,ord_0004942,17.01,10.04,0.0,2026-01-23T14:03:00,2026-01-23T16:03:00
cmp_0000101,con_0000476,ord_0004961,8.22,12.82,6.94,2026-01-20T20:27:00,2026-01-20T22:27:00
cmp_0000102,con_0000477,ord_0005011,14.84,6.97,7.44,2026-01-23T18:58:00,2026-01-23T20:58:00
cmp_0000103,con_0000480,ord_0005083,0.0,5.48,0.0,2026-01-20T20:15:00,2026-01-20T22:15:00
cmp_0000104,con_0000482,ord_0005105,0.0,6.44,6.32,2026-01-15T10:49:00,2026-01-15T12:49:00
cmp_0000105,con_0000484,ord_0005144,0.0,11.44,0.0,2026-01-15T11:03:00,2026-01-15T13:03:00
cmp_0000106,con_0000485,ord_0005156,9.71,10.91,8.2,2026-01-16T21:22:00,2026-01-16T23:22:00
cmp_0000107,con_0000492,ord_0005229,0.0,7.61,2.06,2026-01-16T10:50:00,2026-01-16T12:50:00
cmp_0000108,con_0000493,ord_0005240,0.0,9.8,0.0,2026-01-15T17:05:00,2026-01-15T19:05:00
cmp_0000109,con_0000502,ord_0005400,10.93,0.0,4.47,2026-01-17T11:33:00,2026-01-17T13:33:00
cmp_0000110,con_0000504,ord_0005408,0.0,6.73,5.66,2026-01-18T20:19:00,2026-01-18T22:19:00
cmp_0000111,con_0000506,ord_0005436,0.0,7.07,0.0,2026-01-21T12:39:00,2026-01-21T14:39:00
cmp_0000112,con_0000509,ord_0005525,11.35,4.52,0.0,2026-01-17T09:47:00,2026-01-17T11:47:00
cmp_0000113,con_0000510,ord_0005528,0.0,10.83,0.0,2026-01-18T16:17:00,2026-01-18T18:17:00
cmp_0000114,con_0000517,ord_0005624,0.0,11.96,6.42,2026-01-21T17:08:00,2026-01-21T19:08:00
cmp_0000115,con_0000518,ord_0005632,0.0,10.79,0.0,2026-01-17T10:20:00,2026-01-17T12:20:00
cmp_0000116,con_0000529,ord_0005748,0.0,8.68,0.0,2026-01-24T12:45:00,2026-01-24T14:45:00
cmp_0000117,con_0000534,ord_0005807,0.0,12.14,5.74,2026-01-24T08:53:00,2026-01-24T10:53:00
cmp_0000118,con_0000540,ord_0005871,0.0,9.57,0.0,2026-01-25T20:42:00,2026-01-25T22:42:00
cmp_0000119,con_0000543,ord_0005886,7.72,6.17,0.0,2026-01-19T22:47:00,2026-01-20T00:47:00
cmp_0000120,con_0000545,ord_0005949,0.0,10.77,7.02,2026-01-25T21:00:00,2026-01-25T23:00:00
cmp_0000121,con_0000548,ord_0005967,0.0,13.32,0.0,2026-01-17T08:51:00,2026-01-17T10:51:00
cmp_0000122,con_0000554,ord_0006006,0.0,3.82,0.0,2026-01-25T12:23:00,2026-01-25T14:23:00
cmp_0000123,con_0000556,ord_0006013,3.12,11.88,5.53,2026-01-22T12:39:00,2026-01-22T14:39:00
cmp_0000124,con_0000565,ord_0006145,7.63,12.81,6.8,2026-01-17T20:01:00,2026-01-17T22:01:00
cmp_0000125,con_0000568,ord_0006163,0.0,7.53,6.57,2026-01-25T16:47:00,2026-01-25T18:47:00
cmp_0000126,con_0000571,ord_0006187,0.0,10.06,0.0,2026-01-18T13:54:00,2026-01-18T15:54:00
cmp_0000127,con_0000574,ord_0006232,0.0,13.83,0.0,2026-01-19T21:12:00,2026-01-19T23:12:00
cmp_0000128,con_0000576,ord_0006256,7.57,4.99,0.0,2026-01-18T09:00:00,2026-01-18T11:00:00
cmp_0000129,con_0000577,ord_0006259,0.0,13.23,0.0,2026-01-18T10:45:00,2026-01-18T12:45:00
cmp_0000130,con_0000584,ord_0006365,0.0,12.8,4.27,2026-01-17T12:55:00,2026-01-17T14:55:00
cmp_0000131,con_0000588,ord_0006421,9.24,0.0,6.65,2026-01-26T11:06:00,2026-01-26T13:06:00
cmp_0000132,con_0000589,ord_0006429,17.99,0.0,0.0,2026-01-20T17:11:00,2026-01-20T19:11:00
cmp_0000133,con_0000591,ord_0006512,0.0,8.99,0.0,2026-01-26T16:25:00,2026-01-26T18:25:00
cmp_0000134,con_0000595,ord_0006532,0.0,3.43,0.0,2026-01-26T22:18:00,2026-01-27T00:18:00
cmp_0000135,con_0000599,ord_0006606,15.64,0.0,5.64,2026-01-19T17:57:00,2026-01-19T19:57:00
cmp_0000136,con_0000606,ord_0006717,9.15,0.0,2.4,2026-01-18T10:48:00,2026-01-18T12:48:00
cmp_0000137,con_0000609,ord_0006729,0.0,7.72,4.31,2026-01-19T11:26:00,2026-01-19T13:26:00
cmp_0000138,con_0000613,ord_0006786,11.91,4.3,7.09,2026-01-20T13:26:00,2026-01-20T15:26:00
cmp_0000139,con_0000618,ord_0006828,8.31,7.5,8.59,2026-01-26T14:45:00,2026-01-26T16:45:00
cmp_0000140,con_0000619,ord_0006838,13.78,10.5,0.0,2026-01-23T15:33:00,2026-01-23T17:33:00
cmp_0000141,con_0000631,ord_0006960,0.0,8.47,0.0,2026-01-19T12:05:00,2026-01-19T14:05:00
cmp_0000142,con_0000641,ord_0007078,0.0,7.21,0.0,2026-01-24T09:46:00,2026-01-24T11:46:00
cmp_0000143,con_0000642,ord_0007083,10.53,6.07,0.0,2026-01-21T08:54:00,2026-01-21T10:54:00
cmp_0000144,con_0000644,ord_0007110,9.66,5.86,0.0,2026-01-19T16:42:00,2026-01-19T18:42:00
cmp_0000145,con_0000646,ord_0007117,17.35,13.61,6.95,2026-01-21T18:51:00,2026-01-21T20:51:00
cmp_0000146,con_0000648,ord_0007142,0.0,7.37,0.0,2026-01-21T11:24:00,2026-01-21T13:24:00
cmp_0000147,con_0000649,ord_0007149,0.0,10.81,0.0,2026-01-21T13:46:00,2026-01-21T15:46:00
cmp_0000148,con_0000658,ord_0007219,0.0,12.23,0.0,2026-01-27T12:41:00,2026-01-27T14:41:00
cmp_0000149,con_0000662,ord_0007246,0.0,7.02,0.0,2026-01-20T09:46:00,2026-01-20T11:46:00
cmp_0000150,con_0000670,ord_0007333,0.0,4.58,0.0,2026-01-27T08:35:00,2026-01-27T10:35:00
cmp_0000151,con_0000671,ord_0007376,0.0,12.72,0.0,2026-01-25T21:10:00,2026-01-25T23:10:00
cmp_0000152,con_0000680,ord_0007528,0.0,9.16,0.0,2026-01-28T21:30:00,2026-01-28T23:30:00
cmp_0000153,con_0000684,ord_0007619,0.0,4.63,5.69,2026-01-28T13:21:00,2026-01-28T15:21:00
cmp_0000154,con_0000690,ord_0007647,10.23,0.0,0.0,2026-01-22T09:51:00,2026-01-22T11:51:00
cmp_0000155,con_0000691,ord_0007655,17.48,0.0,0.0,2026-01-20T14:28:00,2026-01-20T16:28:00
cmp_0000156,con_0000694,ord_0007679,0.0,8.49,0.0,2026-01-21T09:10:00,2026-01-21T11:10:00
cmp_0000157,con_0000698,ord_0007739,0.0,5.06,6.88,2026-01-20T13:11:00,2026-01-20T15:11:00
cmp_0000158,con_0000701,ord_0007786,0.0,7.0,8.37,2026-01-22T18:33:00,2026-01-22T20:33:00
cmp_0000159,con_0000706,ord_0007852,0.0,9.17,6.01,2026-01-26T11:22:00,2026-01-26T13:22:00
cmp_0000160,con_0000707,ord_0007872,5.14,0.0,2.55,2026-01-21T19:11:00,2026-01-21T21:11:00
cmp_0000161,con_0000709,ord_0007877,0.0,5.12,0.0,2026-01-29T20:57:00,2026-01-29T22:57:00
cmp_0000162,con_0000726,ord_0008083,0.0,8.1,0.0,2026-01-22T12:57:00,2026-01-22T14:57:00
cmp_0000163,con_0000729,ord_0008100,0.0,13.65,5.0,2026-01-23T13:24:00,2026-01-23T15:24:00
cmp_0000164,con_0000734,ord_0008139,8.95,8.02,0.0,2026-01-29T17:02:00,2026-01-29T19:02:00
cmp_0000165,con_0000736,ord_0008192,0.0,8.87,0.0,2026-01-24T21:28:00,2026-01-24T23:28:00
cmp_0000166,con_0000737,ord_0008202,0.0,13.22,4.61,2026-01-22T19:16:00,2026-01-22T21:16:00
cmp_0000167,con_0000738,ord_0008203,0.0,3.92,0.0,2026-01-27T13:42:00,2026-01-27T15:42:00
cmp_0000168,con_0000745,ord_0008278,0.0,6.79,5.77,2026-01-23T21:26:00,2026-01-23T23:26:00
cmp_0000169,con_0000747,ord_0008307,0.0,5.45,8.27,2026-01-23T09:41:00,2026-01-23T11:41:00
cmp_0000170,con_0000748,ord_0008338,0.0,13.07,4.92,2026-01-27T18:58:00,2026-01-27T20:58:00
cmp_0000171,con_0000751,ord_0008378,8.73,0.0,4.89,2026-01-27T09:58:00,2026-01-27T11:58:00
cmp_0000172,con_0000753,ord_0008396,15.39,0.0,0.0,2026-01-30T13:20:00,2026-01-30T15:20:00
cmp_0000173,con_0000754,ord_0008401,4.36,6.8,0.0,2026-01-24T08:00:00,2026-01-24T10:00:00
cmp_0000174,con_0000755,ord_0008418,0.0,3.71,0.0,2026-01-30T10:19:00,2026-01-30T12:19:00
cmp_0000175,con_0000758,ord_0008447,0.0,5.52,4.78,2026-01-27T16:19:00,2026-01-27T18:19:00
cmp_0000176,con_0000760,ord_0008462,16.27,0.0,8.78,2026-01-23T16:38:00,2026-01-23T18:38:00
cmp_0000177,con_0000771,ord_0008591,0.0,9.53,4.24,2026-01-27T09:39:00,2026-01-27T11:39:00
cmp_0000178,con_0000773,ord_0008596,5.29,4.32,8.93,2026-01-24T18:20:00,2026-01-24T20:20:00
cmp_0000179,con_0000780,ord_0008714,0.0,3.25,0.0,2026-01-24T10:41:00,2026-01-24T12:41:00
cmp_0000180,con_0000782,ord_0008726,0.0,5.29,0.0,2026-01-31T12:02:00,2026-01-31T14:02:00
cmp_0000181,con_0000783,ord_0008728,0.0,7.92,0.0,2026-01-24T20:08:00,2026-01-24T22:08:00
cmp_0000182,con_0000789,ord_0008780,0.0,8.28,7.95,2026-01-24T12:06:00,2026-01-24T14:06:00
cmp_0000183,con_0000791,ord_0008812,12.16,0.0,3.79,2026-01-24T10:32:00,2026-01-24T12:32:00
cmp_0000184,con_0000793,ord_0008818,0.0,12.93,0.0,2026-01-25T09:37:00,2026-01-25T11:37:00
cmp_0000185,con_0000795,ord_0008844,0.0,4.57,7.0,2026-01-24T13:38:00,2026-01-24T15:38:00
cmp_0000186,con_0000796,ord_0008860,0.0,13.51,0.0,2026-01-25T19:23:00,2026-01-25T21:23:00
cmp_0000187,con_0000797,ord_0008871,0.0,13.84,3.23,2026-01-23T19:59:00,2026-01-23T21:59:00
cmp_0000188,con_0000824,ord_0009233,0.0,7.06,0.0,2026-01-25T09:39:00,2026-01-25T11:39:00
cmp_0000189,con_0000826,ord_0009243,8.86,0.0,0.0,2026-01-24T12:23:00,2026-01-24T14:23:00
cmp_0000190,con_0000827,ord_0009246,0.0,10.97,0.0,2026-01-26T14:14:00,2026-01-26T16:14:00
cmp_0000191,con_0000831,ord_0009304,9.2,0.0,0.0,2026-01-26T22:22:00,2026-01-27T00:22:00
cmp_0000192,con_0000834,ord_0009344,0.0,4.3,0.0,2026-01-26T19:10:00,2026-01-26T21:10:00
cmp_0000193,con_0000838,ord_0009393,0.0,4.04,0.0,2026-01-29T20:46:00,2026-01-29T22:46:00
cmp_0000194,con_0000840,ord_0009415,0.0,10.65,0.0,2026-01-25T11:07:00,2026-01-25T13:07:00
cmp_0000195,con_0000848,ord_0009481,13.96,0.0,0.0,2026-01-26T11:39:00,2026-01-26T13:39:00
cmp_0000196,con_0000856,ord_0009558,0.0,12.65,3.63,2026-01-24T14:04:00,2026-01-24T16:04:00
cmp_0000197,con_0000860,ord_0009630,0.0,5.09,7.06,2026-01-29T13:10:00,2026-01-29T15:10:00
cmp_0000198,con_0000880,ord_0009934,0.0,3.39,0.0,2026-01-26T16:22:00,2026-01-26T18:22:00
cmp_0000199,con_0000883,ord_0009982,0.0,6.93,0.0,2026-01-25T11:35:00,2026-01-25T13:35:00
cmp_0000200,con_0000896,ord_0010121,0.0,5.14,6.79,2026-01-30T10:42:00,2026-01-30T12:42:00
cmp_0000201,con_0000897,ord_0010123,15.16,4.98,0.0,2026-01-26T21:12:00,2026-01-26T23:12:00
cmp_0000202,con_0000904,ord_0010166,16.6,0.0,3.23,2026-01-27T15:13:00,2026-01-27T17:13:00
cmp_0000203,con_0000905,ord_0010180,11.62,3.89,3.3,2026-02-02T10:36:00,2026-02-02T12:36:00
cmp_0000204,con_0000907,ord_0010196,0.0,11.81,8.68,2026-01-27T08:31:00,2026-01-27T10:31:00
cmp_0000205,con_0000910,ord_0010210,14.31,0.0,4.07,2026-01-26T08:36:00,2026-01-26T10:36:00
cmp_0000206,con_0000913,ord_0010266,0.0,3.57,4.93,2026-01-31T10:56:00,2026-01-31T12:56:00
cmp_0000207,con_0000918,ord_0010379,0.0,5.97,2.93,2026-02-03T20:22:00,2026-02-03T22:22:00
cmp_0000208,con_0000920,ord_0010428,6.93,0.0,0.0,2026-02-03T15:51:00,2026-02-03T17:51:00
cmp_0000209,con_0000930,ord_0010519,16.05,13.34,8.09,2026-01-28T14:20:00,2026-01-28T16:20:00
cmp_0000210,con_0000939,ord_0010586,0.0,6.43,3.57,2026-01-26T09:18:00,2026-01-26T11:18:00
cmp_0000211,con_0000943,ord_0010608,0.0,12.63,3.75,2026-02-03T19:36:00,2026-02-03T21:36:00
cmp_0000212,con_0000946,ord_0010622,0.0,5.77,5.03,2026-02-03T10:57:00,2026-02-03T12:57:00
cmp_0000213,con_0000949,ord_0010628,0.0,13.4,4.38,2026-01-27T13:03:00,2026-01-27T15:03:00
cmp_0000214,con_0000953,ord_0010678,0.0,13.4,2.86,2026-01-27T16:27:00,2026-01-27T18:27:00
cmp_0000215,con_0000958,ord_0010725,0.0,6.9,0.0,2026-02-04T17:55:00,2026-02-04T19:55:00
cmp_0000216,con_0000969,ord_0010802,0.0,5.82,0.0,2026-01-27T20:37:00,2026-01-27T22:37:00
cmp_0000217,con_0000971,ord_0010816,6.22,9.64,7.03,2026-02-04T17:06:00,2026-02-04T19:06:00
cmp_0000218,con_0000973,ord_0010839,0.0,8.58,0.0,2026-01-27T16:22:00,2026-01-27T18:22:00
cmp_0000219,con_0000981,ord_0010919,0.0,6.51,6.02,2026-01-27T14:47:00,2026-01-27T16:47:00
cmp_0000220,con_0000985,ord_0010929,0.0,8.1,0.0,2026-01-29T22:11:00,2026-01-30T00:11:00
cmp_0000221,con_0000995,ord_0011032,16.54,0.0,3.14,2026-01-27T14:35:00,2026-01-27T16:35:00
cmp_0000222,con_0001002,ord_0011097,7.13,0.0,0.0,2026-02-05T14:46:00,2026-02-05T16:46:00
cmp_0000223,con_0001005,ord_0011152,6.19,4.16,6.28,2026-01-30T08:46:00,2026-01-30T10:46:00
cmp_0000224,con_0001007,ord_0011165,0.0,6.25,0.0,2026-01-28T10:06:00,2026-01-28T12:06:00
cmp_0000225,con_0001010,ord_0011211,0.0,7.69,8.6,2026-02-05T11:01:00,2026-02-05T13:01:00
cmp_0000226,con_0001011,ord_0011220,10.97,0.0,0.0,2026-02-02T12:50:00,2026-02-02T14:50:00
cmp_0000227,con_0001012,ord_0011273,10.06,13.61,7.99,2026-01-29T12:18:00,2026-01-29T14:18:00
cmp_0000228,con_0001015,ord_0011279,15.75,0.0,0.0,2026-01-29T14:50:00,2026-01-29T16:50:00
cmp_0000229,con_0001016,ord_0011293,0.0,7.59,2.77,2026-01-30T13:41:00,2026-01-30T15:41:00
cmp_0000230,con_0001028,ord_0011510,0.0,4.58,2.72,2026-02-05T10:11:00,2026-02-05T12:11:00
cmp_0000231,con_0001036,ord_0011680,0.0,5.53,0.0,2026-01-29T16:49:00,2026-01-29T18:49:00
cmp_0000232,con_0001037,ord_0011685,0.0,10.49,3.61,2026-01-30T14:43:00,2026-01-30T16:43:00
cmp_0000233,con_0001039,ord_0011689,0.0,12.04,0.0,2026-01-30T15:37:00,2026-01-30T17:37:00
cmp_0000234,con_0001043,ord_0011759,6.38,0.0,4.03,2026-01-30T10:53:00,2026-01-30T12:53:00
cmp_0000235,con_0001053,ord_0011836,0.0,8.44,0.0,2026-01-29T09:20:00,2026-01-29T11:20:00
