survey_id,contact_id,score,submitted_at,updated_at
sur_0000041,con_0000140,3,2026-01-15T09:23:00,2026-01-15T10:23:00
sur_0000042,con_0000141,4,2026-01-09T20:37:00,2026-01-09T21:37:00
sur_0000043,con_0000143,4,2026-01-17T22:34:00,2026-01-17T23:34:00
sur_0000044,con_0000145,5,2026-01-09T21:05:00,2026-01-09T22:05:00
sur_0000045,con_0000146,4,2026-01-09T12:55:00,2026-01-09T13:55:00
sur_0000046,con_0000150,5,2026-01-11T22:25:00,2026-01-11T23:25:00
sur_0000047,con_0000151,4,2026-01-15T10:35:00,2026-01-15T11:35:00
sur_0000048,con_0000152,4,2026-01-11T20:18:00,2026-01-11T21:18:00
sur_0000049,con_0000155,4,2026-01-09T08:18:00,2026-01-09T09:18:00
sur_0000050,con_0000158,4,2026-01-10T20:34:00,2026-01-10T21:34:00
sur_0000051,con_0000159,3,2026-01-17T21:27:00,2026-01-17T22:27:00
sur_0000052,con_0000164,5,2026-01-15T22:48:00,2026-01-15T23:48:00
sur_0000053,con_0000171,4,2026-01-09T22:24:00,2026-01-09T23:24:00
sur_0000054,con_0000173,3,2026-01-11T09:11:00,2026-01-11T10:11:00
sur_0000055,con_0000174,4,2026-01-17T19:04:00,2026-01-17T20:04:00
sur_0000056,con_0000175,4,2026-01-15T14:20:00,2026-01-15T15:20:00
sur_0000057,con_0000176,2,2026-01-10T19:39:00,2026-01-10T20:39:00
sur_0000058,con_0000178,5,2026-01-17T17:08:00,2026-01-17T18:08:00
sur_0000059,con_0000182,4,2026-01-18T11:08:00,2026-01-18T12:08:00
sur_0000060,con_0000192,4,2026-01-18T20:20:00,2026-01-18T21:20:00
sur_0000061,con_0000193,4,2026-01-12T19:32:00,2026-01-12T20:32:00
sur_0000062,con_0000195,4,2026-01-18T17:27:00,2026-01-18T18:27:00
sur_0000063,con_0000196,4,2026-01-12T18:47:00,2026-01-12T19:47:00
sur_0000064,con_0000206,4,2026-01-12T17:22:00,2026-01-12T18:22:00
sur_0000065,con_0000208,4,2026-01-12T22:41:00,2026-01-12T23:41:00
sur_0000066,con_0000210,5,2026-01-12T18:35:00,2026-01-12T19:35:00
sur_0000067,con_0000213,4,2026-01-16T10:51:00,2026-01-16T11:51:00
sur_0000068,con_0000214,4,2026-01-10T13:58:00,2026-01-10T14:58:00
sur_0000069,con_0000215,4,2026-01-16T11:15:00,2026-01-16T12:15:00
sur_0000070,con_0000217,4,2026-01-18T18:05:00,2026-01-18T19:05:00
sur_0000071,con_0000218,4,2026-01-16T19:41:00,2026-01-16T20:41:00
sur_0000072,con_0000221,4,2026-01-10T17:57:00,2026-01-10T18:57:00
sur_0000073,con_0000223,4,2026-01-18T19:44:00,2026-01-18T20:44:00
sur_0000074,con_0000224,4,2026-01-11T11:55:00,2026-01-11T12:55:00
sur_0000075,con_0000225,4,2026-01-16T19:07:00,2026-01-16T20:07:00
sur_0000076,con_0000226,4,2026-01-12T18:30:00,2026-01-12T19:30:00
sur_0000077,con_0000228,3,2026-01-11T10:37:00,2026-01-11T11:37:00
sur_0000078,con_0000229,5,2026-01-11T10:42:00,2026-01-11T11:42:00
sur_0000079,con_0000231,3,2026-01-16T09:23:00,2026-01-16T10:23:00
sur_0000080,con_0000233,4,2026-01-18T19:11:00,2026-01-18T20:11:00
sur_0000081,con_0000234,4,2026-01-10T19:36:00,2026-01-10T20:36:00
sur_0000082,con_0000235,4,2026-01-11T16:21:00,2026-01-11T17:21:00
sur_0000083,con_0000239,4,2026-01-10T10:54:00,2026-01-10T11:54:00
sur_0000084,con_0000241,4,2026-01-11T19:17:00,2026-01-11T20:17:00
sur_0000085,con_0000242,4,2026-01-11T09:40:00,2026-01-11T10:40:00
sur_0000086,con_0000243,5,2026-01-19T12:56:00,2026-01-19T13:56:00
sur_0000087,con_0000244,3,2026-01-13T19:48:00,2026-01-13T20:48:00
sur_0000088,con_0000246,4,2026-01-17T11:19:00,2026-01-17T12:19:00
sur_0000089,con_0000250,4,2026-01-12T16:05:00,2026-01-12T17:05:00
sur_0000090,con_0000254,4,2026-01-11T10:10:00,2026-01-11T11:10:00
sur_0000091,con_0000257,4,2026-01-13T16:42:00,2026-01-13T17:42:00
sur_0000092,con_0000258,4,2026-01-11T09:32:00,2026-01-11T10:32:00
sur_0000093,con_0000260,4,2026-01-13T08:30:00,2026-01-13T09:30:00
sur_0000094,con_0000263,3,2026-01-17T15:00:00,2026-01-17T16:00:00
sur_0000095,con_0000265,4,2026-01-12T08:41:00,2026-01-12T09:41:00
sur_0000096,con_0000267,4,2026-01-19T12:53:00,2026-01-19T13:53:00
sur_0000097,con_0000269,5,2026-01-12T17:40:00,2026-01-12T18:40:00
sur_0000098,con_0000280,5,2026-01-19T19:21:00,2026-01-19T20:21:00
sur_0000099,con_0000281,4,2026-01-19T12:08:00,2026-01-19T13:08:00
sur_0000100,con_0000282,4,2026-01-13T20:54:00,2026-01-13T21:54:00
sur_0000101,con_0000284,5,2026-01-11T10:14:00,2026-01-11T11:14:00
sur_0000102,con_0000287,3,2026-01-11T18:06:00,2026-01-11T19:06:00
sur_0000103,con_0000291,5,2026-01-19T14:12:00,2026-01-19T15:12:00
sur_0000104,con_0000298,4,2026-01-14T11:27:00,2026-01-14T12:27:00
sur_0000105,con_0000300,4,2026-01-14T14:25:00,2026-01-14T15:25:00
sur_0000106,con_0000302,4,2026-01-12T12:28:00,2026-01-12T13:28:00
sur_0000107,con_0000303,4,2026-01-14T22:23:00,2026-01-14T23:23:00
sur_0000108,con_0000307,5,2026-01-12T19:11:00,2026-01-12T20:11:00
sur_0000109,con_0000310,4,2026-01-14T10:25:00,2026-01-14T11:25:00
sur_0000110,con_0000313,3,2026-01-20T19:13:00,2026-01-20T20:13:00
sur_0000111,con_0000315,3,2026-01-12T19:15:00,2026-01-12T20:15:00
sur_0000112,con_0000316,4,2026-01-20T15:03:00,2026-01-20T16:03:00
sur_0000113,con_0000317,4,2026-01-12T15:45:00,2026-01-12T16:45:00
sur_0000114,con_0000319,5,2026-01-12T09:20:00,2026-01-12T10:20:00
sur_0000115,con_0000320,1,2026-01-14T11:56:00,2026-01-14T12:56:00
sur_0000116,con_0000321,4,2026-01-12T16:56:00,2026-01-12T17:56:00
sur_0000117,con_0000323,4,2026-01-13T13:14:00,2026-01-13T14:14:00
sur_0000118,con_0000327,4,2026-01-18T12:05:00,2026-01-18T13:05:00
sur_0000119,con_0000330,3,2026-01-12T12:07:00,2026-01-12T13:07:00
sur_0000120,con_0000332,4,2026-01-20T20:30:00,2026-01-20T21:30:00
sur_0000121,con_0000341,3,2026-01-20T09:21:00,2026-01-20T10:21:00
sur_0000122,con_0000342,5,2026-01-18T22:22:00,2026-01-18T23:22:00
sur_0000123,con_0000344,5,2026-01-14T15:02:00,2026-01-14T16:02:00
sur_0000124,con_0000349,4,2026-01-15T09:50:00,2026-01-15T10:50:00
sur_0000125,con_0000353,4,2026-01-15T17:26:00,2026-01-15T18:26:00
sur_0000126,con_0000357,4,2026-01-13T11:33:00,2026-01-13T12:33:00
sur_0000127,con_0000359,5,2026-01-19T12:15:00,2026-01-19T13:15:00
sur_0000128,con_0000360,4,2026-01-19T18:24:00,2026-01-19T19:24:00
sur_0000129,con_0000365,5,2026-01-15T18:48:00,2026-01-15T19:48:00
sur_0000130,con_0000369,5,2026-01-14T21:25:00,2026-01-14T22:25:00
sur_0000131,con_0000375,4,2026-01-21T11:48:00,2026-01-21T12:48:00
sur_0000132,con_0000381,3,2026-01-19T12:53:00,2026-01-19T13:53:00
sur_0000133,con_0000385,5,2026-01-19T18:19:00,2026-01-19T19:19:00
sur_0000134,con_0000386,5,2026-01-15T09:36:00,2026-01-15T10:36:00
sur_0000135,con_0000387,4,2026-01-21T08:42:00,2026-01-21T09:42:00
sur_0000136,con_0000389,4,2026-01-21T09:35:00,2026-01-21T10:35:00
sur_0000137,con_0000390,3,2026-01-21T14:18:00,2026-01-21T15:18:00
sur_0000138,con_0000392,3,2026-01-21T22:23:00,2026-01-21T23:23:00
sur_0000139,con_0000399,5,2026-01-15T17:51:00,2026-01-15T18:51:00
sur_0000140,con_0000401,5,2026-01-22T16:32:00,2026-01-22T17:32:00
sur_0000141,con_0000406,5,2026-01-14T18:53:00,2026-01-14T19:53:00
sur_0000142,con_0000407,3,2026-01-15T14:19:00,2026-01-15T15:19:00
sur_0000143,con_0000411,5,2026-01-16T13:55:00,2026-01-16T14:55:00
sur_0000144,con_0000416,4,2026-01-16T10:18:00,2026-01-16T11:18:00
sur_0000145,con_0000419,2,2026-01-14T10:56:00,2026-01-14T11:56:00
sur_0000146,con_0000420,5,2026-01-15T14:11:00,2026-01-15T15:11:00
sur_0000147,con_0000426,5,2026-01-22T15:53:00,2026-01-22T16:53:00
sur_0000148,con_0000427,4,2026-01-16T13:43:00,2026-01-16T14:43:00
sur_0000149,con_0000439,3,2026-01-21T19:30:00,2026-01-21T20:30:00
sur_0000150,con_0000443,4,2026-01-23T16:20:00,2026-01-23T17:20:00
sur_0000151,con_0000446,4,2026-01-16T08:12:00,2026-01-16T09:12:00
sur_0000152,con_0000447,4,2026-01-17T21:32:00,2026-01-17T22:32:00
sur_0000153,con_0000450,3,2026-01-23T10:12:00,2026-01-23T11:12:00
sur_0000154,con_0000458,5,2026-01-17T20:56:00,2026-01-17T21:56:00
sur_0000155,con_0000467,5,2026-01-16T17:37:00,2026-01-16T18:37:00
sur_0000156,con_0000470,4,2026-01-24T22:58:00,2026-01-24T23:58:00
sur_0000157,con_0000471,3,2026-01-22T16:23:00,2026-01-22T17:23:00
sur_0000158,con_0000472,2,2026-01-22T10:37:00,2026-01-22T11:37:00
sur_0000159,con_0000475,5,2026-01-24T08:40:00,2026-01-24T09:40:00
sur_0000160,con_0000476,4,2026-01-24T20:27:00,2026-01-24T21:27:00
sur_0000161,con_0000478,4,2026-01-24T12:17:00,2026-01-24T13:17:00
sur_0000162,con_0000482,4,2026-01-22T10:49:00,2026-01-22T11:49:00
sur_0000163,con_0000484,5,2026-01-17T11:03:00,2026-01-17T12:03:00
sur_0000164,con_0000490,3,2026-01-17T11:09:00,2026-01-17T12:09:00
sur_0000165,con_0000492,5,2026-01-22T10:50:00,2026-01-22T11:50:00
sur_0000166,con_0000495,5,2026-01-17T10:51:00,2026-01-17T11:51:00
sur_0000167,con_0000504,4,2026-01-17T20:19:00,2026-01-17T21:19:00
sur_0000168,con_0000505,4,2026-01-25T21:53:00,2026-01-25T22:53:00
sur_0000169,con_0000506,5,2026-01-18T12:39:00,2026-01-18T13:39:00
sur_0000170,con_0000507,5,2026-01-23T19:57:00,2026-01-23T20:57:00
sur_0000171,con_0000508,4,2026-01-19T10:00:00,2026-01-19T11:00:00
sur_0000172,con_0000513,3,2026-01-18T18:26:00,2026-01-18T19:26:00
sur_0000173,con_0000514,4,2026-01-17T13:06:00,2026-01-17T14:06:00
sur_0000174,con_0000517,3,2026-01-19T17:08:00,2026-01-19T18:08:00
sur_0000175,con_0000519,4,2026-01-19T10:36:00,2026-01-19T11:36:00
sur_0000176,con_0000523,4,2026-01-23T14:59:00,2026-01-23T15:59:00
sur_0000177,con_0000528,4,2026-01-25T16:38:00,2026-01-25T17:38:00
sur_0000178,con_0000534,4,2026-01-19T08:53:00,2026-01-19T09:53:00
sur_0000179,con_0000535,3,2026-01-25T17:19:00,2026-01-25T18:19:00
sur_0000180,con_0000538,4,2026-01-26T21:23:00,2026-01-26T22:23:00
sur_0000181,con_0000542,4,2026-01-20T19:33:00,2026-01-20T20:33:00
sur_0000182,con_0000548,4,2026-01-26T08:51:00,2026-01-26T09:51:00
sur_0000183,con_0000549,4,2026-01-19T08:29:00,2026-01-19T09:29:00
sur_0000184,con_0000552,4,2026-01-19T17:57:00,2026-01-19T18:57:00
sur_0000185,con_0000558,4,2026-01-20T17:17:00,2026-01-20T18:17:00
sur_0000186,con_0000561,5,2026-01-26T11:08:00,2026-01-26T12:08:00
sur_0000187,con_0000568,3,2026-01-19T16:47:00,2026-01-19T17:47:00
sur_0000188,con_0000569,5,2026-01-18T18:34:00,2026-01-18T19:34:00
sur_0000189,con_0000570,5,2026-01-18T15:25:00,2026-01-18T16:25:00
sur_0000190,con_0000574,4,2026-01-24T21:12:00,2026-01-24T22:12:00
sur_0000191,con_0000575,4,2026-01-19T09:54:00,2026-01-19T10:54:00
sur_0000192,con_0000578,5,2026-01-19T20:19:00,2026-01-19T21:19:00
sur_0000193,con_0000580,5,2026-01-19T15:49:00,2026-01-19T16:49:00
sur_0000194,con_0000583,4,2026-01-26T16:09:00,2026-01-26T17:09:00
sur_0000195,con_0000591,4,2026-01-19T16:25:00,2026-01-19T17:25:00
sur_0000196,con_0000593,3,2026-01-20T22:37:00,2026-01-20T23:37:00
sur_0000197,con_0000594,5,2026-01-20T20:23:00,2026-01-20T21:23:00
sur_0000198,con_0000596,4,2026-01-21T11:57:00,2026-01-21T12:57:00
sur_0000199,con_0000601,4,2026-01-20T20:41:00,2026-01-20T21:41:00
sur_0000200,con_0000609,4,2026-01-27T11:26:00,2026-01-27T12:26:00
sur_0000201,con_0000614,5,2026-01-25T21:03:00,2026-01-25T22:03:00
sur_0000202,con_0000615,3,2026-01-21T14:27:00,2026-01-21T15:27:00
sur_0000203,con_0000617,5,2026-01-20T19:50:00,2026-01-20T20:50:00
sur_0000204,con_0000620,5,2026-01-27T13:37:00,2026-01-27T14:37:00
sur_0000205,con_0000624,5,2026-01-21T19:12:00,2026-01-21T20:12:00
sur_0000206,con_0000628,4,2026-01-27T16:07:00,2026-01-27T17:07:00
sur_0000207,con_0000629,4,2026-01-20T19:49:00,2026-01-20T20:49:00
sur_0000208,con_0000636,5,2026-01-20T17:07:00,2026-01-20T18:07:00
sur_0000209,con_0000637,4,2026-01-22T10:43:00,2026-01-22T11:43:00
sur_0000210,con_0000638,5,2026-01-20T20:32:00,2026-01-20T21:32:00
sur_0000211,con_0000639,5,2026-01-21T22:38:00,2026-01-21T23:38:00
sur_0000212,con_0000641,4,2026-01-28T09:46:00,2026-01-28T10:46:00
sur_0000213,con_0000644,3,2026-01-22T16:42:00,2026-01-22T17:42:00
sur_0000214,con_0000645,4,2026-01-21T15:23:00,2026-01-21T16:23:00
sur_0000215,con_0000647,3,2026-01-21T17:35:00,2026-01-21T18:35:00
sur_0000216,con_0000648,4,2026-01-21T11:24:00,2026-01-21T12:24:00
sur_0000217,con_0000649,4,2026-01-20T13:46:00,2026-01-20T14:46:00
sur_0000218,con_0000651,3,2026-01-28T14:40:00,2026-01-28T15:40:00
sur_0000219,con_0000656,4,2026-01-21T09:11:00,2026-01-21T10:11:00
sur_0000220,con_0000658,3,2026-01-22T12:41:00,2026-01-22T13:41:00
sur_0000221,con_0000661,5,2026-01-21T19:48:00,2026-01-21T20:48:00
sur_0000222,con_0000662,4,2026-01-20T09:46:00,2026-01-20T10:46:00
sur_0000223,con_0000666,4,2026-01-20T08:16:00,2026-01-20T09:16:00
sur_0000224,con_0000667,5,2026-01-26T18:24:00,2026-01-26T19:24:00
sur_0000225,con_0000669,5,2026-01-20T09:30:00,2026-01-20T10:30:00
sur_0000226,con_0000674,4,2026-01-23T18:28:00,2026-01-23T19:28:00
sur_0000227,con_0000675,5,2026-01-23T22:26:00,2026-01-23T23:26:00
sur_0000228,con_0000676,4,2026-01-29T17:46:00,2026-01-29T18:46:00
sur_0000229,con_0000677,4,2026-01-29T18:40:00,2026-01-29T19:40:00
sur_0000230,con_0000680,4,2026-01-21T21:30:00,2026-01-21T22:30:00
sur_0000231,con_0000682,5,2026-01-23T11:51:00,2026-01-23T12:51:00
sur_0000232,con_0000684,4,2026-01-21T13:21:00,2026-01-21T14:21:00
sur_0000233,con_0000685,5,2026-01-22T19:59:00,2026-01-22T20:59:00
sur_0000234,con_0000686,3,2026-01-21T12:28:00,2026-01-21T13:28:00
sur_0000235,con_0000688,4,2026-01-22T13:55:00,2026-01-22T14:55:00
sur_0000236,con_0000690,5,2026-01-22T09:51:00,2026-01-22T10:51:00
sur_0000237,con_0000691,4,2026-01-29T14:28:00,2026-01-29T15:28:00
sur_0000238,con_0000698,3,2026-01-21T13:11:00,2026-01-21T14:11:00
sur_0000239,con_0000699,4,2026-01-29T19:39:00,2026-01-29T20:39:00
sur_0000240,con_0000706,3,2026-01-22T11:22:00,2026-01-22T12:22:00
sur_0000241,con_0000707,4,2026-01-22T19:11:00,2026-01-22T20:11:00
sur_0000242,con_0000709,4,2026-01-24T20:57:00,2026-01-24T21:57:00
sur_0000243,con_0000713,4,2026-01-23T21:29:00,2026-01-23T22:29:00
sur_0000244,con_0000714,4,2026-01-24T14:52:00,2026-01-24T15:52:00
sur_0000245,con_0000718,4,2026-01-24T16:33:00,2026-01-24T17:33:00
sur_0000246,con_0000720,4,2026-01-23T19:07:00,2026-01-23T20:07:00
sur_0000247,con_0000721,4,2026-01-22T08:32:00,2026-01-22T09:32:00
sur_0000248,con_0000723,4,2026-01-24T12:22:00,2026-01-24T13:22:00
sur_0000249,con_0000725,5,2026-01-30T15:42:00,2026-01-30T16:42:00
sur_0000250,con_0000726,4,2026-01-28T12:57:00,2026-01-28T13:57:00
sur_0000251,con_0000730,5,2026-01-23T13:21:00,2026-01-23T14:21:00
sur_0000252,con_0000731,4,2026-01-23T11:18:00,2026-01-23T12:18:00
sur_0000253,con_0000734,4,2026-01-24T17:02:00,2026-01-24T18:02:00
sur_0000254,con_0000737,2,2026-01-24T19:16:00,2026-01-24T20:16:00
sur_0000255,con_0000739,5,2026-01-31T15:42:00,2026-01-31T16:42:00
sur_0000256,con_0000741,4,2026-01-25T13:55:00,2026-01-25T14:55:00
sur_0000257,con_0000742,4,2026-01-23T15:34:00,2026-01-23T16:34:00
sur_0000258,con_0000752,5,2026-01-23T22:15:00,2026-01-23T23:15:00
sur_0000259,con_0000756,5,2026-01-29T08:20:00,2026-01-29T09:20:00
sur_0000260,con_0000758,4,2026-01-24T16:19:00,2026-01-24T17:19:00
sur_0000261,con_0000761,5,2026-01-23T09:00:00,2026-01-23T10:00:00
sur_0000262,con_0000762,4,2026-01-24T14:17:00,2026-01-24T15:17:00
sur_0000263,con_0000771,4,2026-01-29T09:39:00,2026-01-29T10:39:00
sur_0000264,con_0000779,3,2026-01-25T13:57:00,2026-01-25T14:57:00
sur_0000265,con_0000780,4,2026-01-30T10:41:00,2026-01-30T11:41:00
sur_0000266,con_0000781,4,2026-01-30T14:52:00,2026-01-30T15:52:00
sur_0000267,con_0000782,3,2026-01-26T12:02:00,2026-01-26T13:02:00
sur_0000268,con_0000785,5,2026-01-26T08:22:00,2026-01-26T09:22:00
sur_0000269,con_0000789,4,2026-01-25T12:06:00,2026-01-25T13:06:00
sur_0000270,con_0000793,3,2026-02-01T09:37:00,2026-02-01T10:37:00
sur_0000271,con_0000794,4,2026-01-30T15:15:00,2026-01-30T16:15:00
sur_0000272,con_0000809,5,2026-02-01T15:11:00,2026-02-01T16:11:00
sur_0000273,con_0000813,4,2026-01-30T09:02:00,2026-01-30T10:02:00
sur_0000274,con_0000815,4,2026-01-24T16:34:00,2026-01-24T17:34:00
sur_0000275,con_0000816,5,2026-01-25T08:55:00,2026-01-25T09:55:00
sur_0000276,con_0000820,4,2026-02-02T09:25:00,2026-02-02T10:25:00
sur_0000277,con_0000823,3,2026-01-31T15:12:00,2026-01-31T16:12:00
sur_0000278,con_0000825,4,2026-01-26T19:37:00,2026-01-26T20:37:00
sur_0000279,con_0000827,4,2026-01-31T14:14:00,2026-01-31T15:14:00
sur_0000280,con_0000834,3,2026-02-02T19:10:00,2026-02-02T20:10:00
sur_0000281,con_0000835,5,2026-01-25T08:16:00,2026-01-25T09:16:00
sur_0000282,con_0000839,4,2026-02-02T17:26:00,2026-02-02T18:26:00
sur_0000283,con_0000841,4,2026-02-02T13:28:00,2026-02-02T14:28:00
sur_0000284,con_0000843,4,2026-01-27T18:52:00,2026-01-27T19:52:00
sur_0000285,con_0000845,4,2026-01-26T19:46:00,2026-01-26T20:46:00
sur_0000286,con_0000846,4,2026-01-26T18:49:00,2026-01-26T19:49:00
sur_0000287,con_0000847,3,2026-01-26T16:58:00,2026-01-26T17:58:00
sur_0000288,con_0000848,4,2026-01-25T11:39:00,2026-01-25T12:39:00
sur_0000289,con_0000849,4,2026-01-27T13:19:00,2026-01-27T14:19:00
sur_0000290,con_0000855,4,2026-01-27T10:51:00,2026-01-27T11:51:00
sur_0000291,con_0000858,4,2026-01-31T10:59:00,2026-01-31T11:59:00
sur_0000292,con_0000859,4,2026-01-26T10:45:00,2026-01-26T11:45:00
sur_0000293,con_0000860,5,2026-01-27T13:10:00,2026-01-27T14:10:00
sur_0000294,con_0000864,5,2026-01-27T17:06:00,2026-01-27T18:06:00
sur_0000295,con_0000869,3,2026-01-28T16:46:00,2026-01-28T17:46:00
sur_0000296,con_0000872,3,2026-01-27T15:26:00,2026-01-27T16:26:00
sur_0000297,con_0000874,3,2026-01-27T09:35:00,2026-01-27T10:35:00
sur_0000298,con_0000876,4,2026-02-01T10:34:00,2026-02-01T11:34:00
sur_0000299,con_0000877,4,2026-02-01T09:30:00,2026-02-01T10:30:00
sur_0000300,con_0000879,5,2026-02-01T10:09:00,2026-02-01T11:09:00
sur_0000301,con_0000880,3,2026-01-26T16:22:00,2026-01-26T17:22:00
sur_0000302,con_0000882,4,2026-02-03T22:47:00,2026-02-03T23:47:00
sur_0000303,con_0000888,5,2026-02-01T11:13:00,2026-02-01T12:13:00
sur_0000304,con_0000894,4,2026-02-03T22:43:00,2026-02-03T23:43:00
sur_0000305,con_0000895,4,2026-02-01T09:33:00,2026-02-01T10:33:00
sur_0000306,con_0000897,5,2026-02-01T21:12:00,2026-02-01T22:12:00
sur_0000307,con_0000899,3,2026-01-26T19:53:00,2026-01-26T20:53:00
sur_0000308,con_0000900,4,2026-02-01T16:32:00,2026-02-01T17:32:00
sur_0000309,con_0000902,5,2026-02-01T19:55:00,2026-02-01T20:55:00
sur_0000310,con_0000908,4,2026-02-03T08:24:00,2026-02-03T09:24:00
sur_0000311,con_0000911,5,2026-02-02T19:59:00,2026-02-02T20:59:00
sur_0000312,con_0000915,3,2026-01-28T08:11:00,2026-01-28T09:11:00
sur_0000313,con_0000917,3,2026-01-29T20:58:00,2026-01-29T21:58:00
sur_0000314,con_0000918,5,2026-02-02T20:22:00,2026-02-02T21:22:00
sur_0000315,con_0000920,4,2026-02-02T15:51:00,2026-02-02T16:51:00
sur_0000316,con_0000921,3,2026-02-02T09:46:00,2026-02-02T10:46:00
sur_0000317,con_0000925,5,2026-01-28T18:50:00,2026-01-28T19:50:00
sur_0000318,con_0000926,4,2026-01-29T09:16:00,2026-01-29T10:16:00
sur_0000319,con_0000928,4,2026-01-29T12:47:00,2026-01-29T13:47:00
sur_0000320,con_0000929,4,2026-01-29T19:47:00,2026-01-29T20:47:00
sur_0000321,con_0000930,5,2026-02-04T14:20:00,2026-02-04T15:20:00
sur_0000322,con_0000932,3,2026-02-04T22:27:00,2026-02-04T23:27:00
sur_0000323,con_0000936,4,2026-02-02T19:01:00,2026-02-02T20:01:00
sur_0000324,con_0000937,4,2026-01-28T21:06:00,2026-01-28T22:06:00
sur_0000325,con_0000939,5,2026-02-02T09:18:00,2026-02-02T10:18:00
sur_0000326,con_0000941,4,2026-02-04T15:34:00,2026-02-04T16:34:00
sur_0000327,con_0000942,5,2026-02-02T15:51:00,2026-02-02T16:51:00
sur_0000328,con_0000944,2,2026-01-29T10:37:00,2026-01-29T11:37:00
sur_0000329,con_0000945,4,2026-02-02T18:28:00,2026-02-02T19:28:00
sur_0000330,con_0000946,4,2026-02-02T10:57:00,2026-02-02T11:57:00
sur_0000331,con_0000956,4,2026-01-29T17:09:00,2026-01-29T18:09:00
sur_0000332,con_0000964,3,2026-02-03T10:10:00,2026-02-03T11:10:00
sur_0000333,con_0000966,5,2026-02-05T13:06:00,2026-02-05T14:06:00
sur_0000334,con_0000969,4,2026-01-29T20:37:00,2026-01-29T21:37:00
sur_0000335,con_0000971,5,2026-01-28T17:06:00,2026-01-28T18:06:00
sur_0000336,con_0000977,3,2026-01-30T13:05:00,2026-01-30T14:05:00
sur_0000337,con_0000981,4,2026-02-03T14:47:00,2026-02-03T15:47:00
sur_0000338,con_0000986,4,2026-02-05T16:04:00,2026-02-05T17:04:00
sur_0000339,con_0000989,4,2026-01-30T15:40:00,2026-01-30T16:40:00
sur_0000340,con_0000996,5,2026-02-05T14:28:00,2026-02-05T15:28:00
